Id,Budget Year Type,Budget Year,Page Number from PDF Document,Sheet No printed on the bottom of PDF page,Account Type,CAPS,Deferred Charges Ind,Department,Division,Program,Program Details,Line Item Id from PDF,Line Item,Line Item Details,Line Item (original),FCOA,Appropriated – CY 2013,Appropriated – CY 2012,Appropriated – CY 2012 By Emerg. Approp.,Appropriated – Total CY 2012 Modified By Trans.,Expended CY 2013 – Paid or Charged,Expended CY 2012 – Reserved
99,CY,2013,45,16,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,MARKETING,880,OTHER MUNICIPAL ADVERTIZING,,880 – OTHER MUNICIPAL ADVERTIZING,30-411,20000,20000,,"20,000",17095,2905
100,CY,2013,45,16,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,MISC OPERATIONS,884,PROFESSIONAL AFFILIATIONS,,884 – PROFESSIONAL AFFILIATIONS,30-413,20000,20000,,"20,000",9096,10904
101,CY,2013,45,16,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,AMBULANCE,,AMBULANCE SERVICE,,AMBULANCE SERVICE,25-260,3925775,3811432,,"3,811,432",3811432,0
102,CY,2013,45,16,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,MISC OPERATIONS,,ETHICAL STANDARDS BOARD,,ETHICAL STANDARDS BOARD,30-418,20000,20000,,"20,000",11000,9000
103,CY,2013,46,17,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,ENERGY,883,ELECTRICITY,,883 – ELECTRICITY,31-430-2,3400000,3400000,,"3,156,000",2860207,295793
104,CY,2013,46,17,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,ENERGY,885,STREET LIGHTING,,885 – STREET LIGHTING,31-431-2,3400000,3400000,,"3,290,000",2991097,298903
105,CY,2013,46,17,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,MISC OPERATIONS,886,MUNICIPAL RENT,,886 – MUNICIPAL RENT,31-432-2,2520000,2100000,,"2,100,000",1924492,175508
106,CY,2013,46,17,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,ENERGY,888,GASOLINE,,888 – GASOLINE,31-434-2,1600000,1600000,,"1,600,000",1523294,76706
107,CY,2013,46,17,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,MISC OPERATIONS,889,COMMUNICATIONS,,889 – COMMUNICATIONS,31-435-2,1545000,1400000,,"1,467,000",1193115,273885
108,CY,2013,46,17,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,MISC OPERATIONS,887,OFFICE SERVICES,,887 – OFFICE SERVICES,31-433-2,1377000,1325000,,"1,325,000",1135625,189375
109,CY,2013,46,17,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,MISC OPERATIONS,970,SALARY ADJUSTMENT,,970 – SALARY ADJUSTMENT,30-414-2,1750000,,,0,0,
110,CY,2013,46,17,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,MISC OPERATIONS,875,Accumulated Absences,,875 – ACCUMULATED ABSENCES,30-415,0,0,0,0,7619611,0
111,CY,2013,46,17,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,MISC OPERATIONS,,Break Adjustment,,Break Adjustment,,90,,,0,,
112,CY,2013,46,17,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,CONTINGENT,CONTINGENT,,CONTINGENT,,CONTINGENT,35-470,50000,50000,,"50,000",0,50000
113,CY,2013,47,18,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,EMERGENCY AUTHORIZATIONS,EMERGENCY AUTHORIZATIONS,,Special Emergency Authorizations 5 Years (40A:4-55),,Special Emergency Authorizations 5 Years (40A:4-55),,,,,0,,
114,CY,2013,47,18,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,EMERGENCY AUTHORIZATIONS,EMERGENCY AUTHORIZATIONS,,Special Emergency Authorizations 3 Years (40A:4-55)(40A:4-55.13),,Special Emergency Authorizations 3 Years (40A:4-55)(40A:4-55.13),,,,,0,,
115,CY,2013,47,18,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,EMERGENCY AUTHORIZATIONS,EMERGENCY AUTHORIZATIONS,,Overexpended Grant Reserves,,Overexpended Grant Reserves,,,,,0,0,
116,CY,2013,47,18,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,EMERGENCY AUTHORIZATIONS,EMERGENCY AUTHORIZATIONS,,Overexpenditures,,Overexpenditures,46-890-2,,,,0,,
117,CY,2013,47,18,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,EMERGENCY AUTHORIZATIONS,EMERGENCY AUTHORIZATIONS,,Expenditure without Appropriation,,Expenditure without Appropriation,46-891-2,,,,0,,
118,CY,2013,47,18,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,EMERGENCY AUTHORIZATIONS,EMERGENCY AUTHORIZATIONS,,Accumulated Absences,,Accumulated Absences,,7619611,0,,0,0,
119,CY,2013,48,18A,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,PRIOR YEARS BILLS,PRIOR YEARS BILLS,,CY11 Medicare Reimbursement Voucher,Patricia Gajewski CY11 Medicare Reimbursement Voucher No B079984,Patricia Gajewski CY11 Medicare Reimbursement Voucher No B079984,,290,,,0,,
120,CY,2013,48,18A,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,PRIOR YEARS BILLS,PRIOR YEARS BILLS,,CY11 Medicare Reimbursement Voucher,Virginia Hussey CY11 Medicare Reimbursement Voucher No B079978,Virginia Hussey CY11 Medicare Reimbursement Voucher No B079978,,462,,,0,,
121,CY,2013,48,18A,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,PRIOR YEARS BILLS,PRIOR YEARS BILLS,,CY11 Medicare Reimbursement Voucher,Bernard Flaherty CY11 Medicare Reimbursement Voucher No B079074,Bernard Flaherty CY11 Medicare Reimbursement Voucher No B079074,,231,,,0,,
122,CY,2013,48,18A,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,PRIOR YEARS BILLS,PRIOR YEARS BILLS,,CY11 Medicare Reimbursement Voucher,Raymond Thomas CY11 Medicare Reimbursement Voucher No B079981,Raymond Thomas CY11 Medicare Reimbursement Voucher No B079981,,221,,,0,,
123,CY,2013,48,18A,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,PRIOR YEARS BILLS,PRIOR YEARS BILLS,,CY11 Medicare Reimbursement Voucher,Kristine Frymasz CY11 Medicare Reimbursement Voucher No B080019,Kristine Frymasz CY11 Medicare Reimbursement Voucher No B080019,,99,,,0,,
124,CY,2013,48,18A,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,PRIOR YEARS BILLS,PRIOR YEARS BILLS,923,PRIOR YEARS BILLS 2012,,923 – PRIOR YEARS BILLS 2012,30-471-2,,18815,0,"18,815",18815,0
125,CY,2013,49,19,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,STATUTORY EXPENDITURES,STATUTORY EXPENDITURES,928,Social Security System (O.A.S.I),,928 – Social Security System (O.A.S.I),36-473-2,3850000,3925000,,"3,925,000",3884183,40817
126,CY,2013,49,19,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,STATUTORY EXPENDITURES,STATUTORY EXPENDITURES,929,Consol. Police/Fire Pension,,929 – Consol. Police/Fire Pension,36-474-2,167303,167303,,"167,303",167303,0
127,CY,2013,49,19,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,STATUTORY EXPENDITURES,STATUTORY EXPENDITURES,,Police/Fire Retirement System NJ,,Police/Fire Retirement System NJ,36-488,34982452,33343616,,"33,343,616",33334617,8999
128,CY,2013,49,19,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,STATUTORY EXPENDITURES,STATUTORY EXPENDITURES,926,Mun. Employees Pension Fund,,926 – Mun. Employees Pension Fund,36-478,8413998,8090382,,"8,090,382",8090382,0
129,CY,2013,49,19,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,STATUTORY EXPENDITURES,STATUTORY EXPENDITURES,931,Employee Non-Contributory Pension (NJS43:88-7),,931 – Employee Non-Contributory Pension (NJS43:88-7),36-475-2,225000,225000,,"225,000",206570,18430
130,CY,2013,49,19,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,STATUTORY EXPENDITURES,STATUTORY EXPENDITURES,932,Pension Employees,,932 – Pension Employees,36-476-2,72000,72000,,"72,000",63611,8389
131,CY,2013,49,19,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,STATUTORY EXPENDITURES,STATUTORY EXPENDITURES,933,"Payments To Widows & Dependents Deceases Public Safety Memebers (NJ40:11,43:8B)",,"933 – Payments To Widows & Dependents Deceases Public Safety Memebers (NJ40:11,43:8B)",36-477-2,720,720,,720,659,61
132,CY,2013,49,19,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,STATUTORY EXPENDITURES,STATUTORY EXPENDITURES,935,UNEMPLOYMENT COMP. INSURANCE N.J.S. 43:31 et seq,,935 – UNEMPLOYMENT COMP. INSURANCE N.J.S. 43:31 et seq,23-225-2,650000,1000000,,"1,000,000",1000000,0
133,CY,2013,49,19,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,STATUTORY EXPENDITURES,STATUTORY EXPENDITURES,,Public Employee's Retirement System (PERS),,Public Employee's Retirement System (PERS),36-472-2,2483300,2526878,,"2,526,878",2522591,4287
134,CY,2013,49,19,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,STATUTORY EXPENDITURES,STATUTORY EXPENDITURES,,PERS – Defined Contribution Retirement Plan,,PERS – Defined Contribution Retirement Plan,36-480,10000,4000,,"4,000",1671,2329
135,CY,2013,49,19,Appropriation,Within “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,STATUTORY EXPENDITURES,STATUTORY EXPENDITURES,,CASH DEFICIT OF PRECEDING YEAR,,(G.) CASH DEFICIT OF PRECEDING YEAR,46-885-02,,,,0,,
136,CY,2013,50,20,Appropriation,Excluded “CAPS”,Deferred Charges - NO,JC PARKING AUTHORITY,NON-DIVISIONAL,OPERATIONS,OTHER OPERATIONS,2228,JC PARKING AUTHORITY,,2228 – JC PARKING AUTHORITY,42-400,1078683,1082237,,"1,157,237",1082237,75000
137,CY,2013,50,20,Appropriation,Excluded “CAPS”,Deferred Charges - NO,FREE PUBLIC LIBRARY,NON-DIVISIONAL,OPERATIONS,OTHER OPERATIONS,2287,"MAINTENANCE – FREE PUBLIC LIBRARY (PL 1985,c 82)",,"2287 – MAINTENANCE – FREE PUBLIC LIBRARY (PL 1985,c 82)",29-390,7900000,7650000,,"7,650,000",7511341,138659
138,CY,2013,50,20,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,OTHER OPERATIONS,,Employee Group Health Insurance,,Employee Group Health Insurance,23-221,0,0,,0,,0
139,CY,2013,50,20,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,OTHER OPERATIONS,,POLICE/FIRE RETIREMENT SYS. NJ,,POLICE/FIRE RETIREMENT SYS. NJ,36-487,0,0,0,0,0,0
140,CY,2013,50,20,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,OTHER OPERATIONS,,Public Employee's Retire.Sys. (PERS),,Public Employee's Retire.Sys. (PERS),36-470,0,0,0,0,0,0
141,CY,2013,51,21,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,UNIFORM CONSTRUCTION CODE INCREASED FREE REVENUES (NJAC 5:23-4.17),,UNIFORM CONSTRUCTION CODE INCREASED FREE REVENUES (NJAC 5:23-4.17),,UNIFORM CONSTRUCTION CODE INCREASED FREE REVENUES (NJAC 5:23-4.17),,0,0,0,0,0,0
142,CY,2013,51,22,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,INTERLOCAL MUNICIPAL SERVICE AGREEMENTS,,INTERLOCAL MUNICIPAL SERVICE AGREEMENTS,,INTERLOCAL MUNICIPAL SERVICE AGREEMENTS,,0,0,0,0,0,0
143,CY,2013,51,23,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,ADDITIONAL APPROPRIATIONS OFFSET BY REVENUES (N.J.S. 40A:4-45.3H),,ADDITIONAL APPROPRIATIONS OFFSET BY REVENUES (N.J.S. 40A:4-45.3H),,ADDITIONAL APPROPRIATIONS OFFSET BY REVENUES (N.J.S. 40A:4-45.3H),,0,0,0,0,0,0
144,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Ben Roethlisberger,,Ben Roethlisberger,41-350,10000,,,0,0,0
145,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Summer Food Services,,Summer Food Services,41-114,607778,444922,,"444,922",444922,0
146,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,"Women, Infant & Children (W.I.C)",,"Women, Infant & Children (W.I.C)",41-158,,138000,,"1,770,000",1770000,0
147,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Child Health – PORSCHE,,Child Health – PORSCHE,41-019,195000,195000,,"292,500",292500,0
148,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Local Safety/McGinley,,Local Safety/McGinley,41-351,350000,,,0,,
149,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Petsmart Charities,,Petsmart Charities,41-322,,79500,,"79,500",79500,0
150,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Sexually Transmitter Disease Control,,Sexually Transmitter Disease Control,41-112,,75183,,"150,366",150366,0
151,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Mun. Alliance-Drug & Alcohol Abuse,,Mun. Alliance-Drug & Alcohol Abuse,41-056,291511,302174,,"302,174",302174,0
152,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,HCOS – Peter Stuyvesant,,HCOS – Peter Stuyvesant,41-352,25000,,,0,,0
153,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,UEZ – Jackson Hill Main Street,,UEZ – Jackson Hill Main Street,41-319,,100000,,"100,000",100000,0
154,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,UEZ – Second Chance Maintenance Program,,UEZ – Second Chance Maintenance Program,41-320,482625,580917,,"580,917",580917,
155,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,MUTCD Traffic Sign Inventory,,MUTCD Traffic Sign Inventory,41-328,,133000,,"133,000",133000,0
156,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,PANYJC Homeland Security,,PANYJC Homeland Security,41-353,612620,,,0,,
157,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,PANYNJ Port Security,,PANYNJ Port Security,41-354,41250,,,0,,
158,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Port Security Grant,,Port Security Grant,41-355,234200,,,0,,
159,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Project GLAD (Roid),,Project GLAD (Roid),,,18000,,"18,000",18000,0
160,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Neighborhood Stabilization Program,,Neighborhood Stabilization Program,41-356,625000,,,0,,0
161,CY,2013,52,24,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Town Hall Meeting,,Town Hall Meeting,41-325,,500,,500,500,0
162,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Community Service Block Grant,,Community Service Block Grant,41-015,660159,705387,,"926,539",926539,0
163,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Local Safety Program,,Local Safety Program,41-330,615287,1023700,,"1,023,700",1023700,0
164,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Senior Nutrition,,Senior Nutrition,41-113,1390654,1515264,,"1,595,164",1595164,0
165,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Metro Medical Response System,,Metro Medical Response System,41-074,281693,,,0,0,0
166,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Safe Routes To School #4,,Safe Routes To School #4,41-357,300000,,,0,,0
167,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Hazard Materials Emergency Plan,,Hazard Materials Emergency Plan,41-359,42300,,,0,0,0
168,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,COPS in Shops,,COPS in Shops,41-335,,7628,,"7,628",7628,0
169,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Harborside Industrial Drive,,Harborside Industrial Drive,41-329,,320000,,"320,000",320000,0
170,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,First Street Park,,First Street Park,41-361,295000,,,0,,0
171,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Bullet Proof Vest Partnership Program,,Bullet Proof Vest Partnership Program,41-289,,,,"7,211",7211,0
172,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Reservoir 3 Stabilization,,Reservoir 3 Stabilization,41-363,50000,,,0,,0
173,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,UASI JC Gold Coast,,UASI JC Gold Coast,41-364,75000,,,0,,0
174,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Bufferzone Protection,,Bufferzone Protection,41-365,259000,,,0,,0
175,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Learn to Swim,,Learn to Swim,41-831,,43938,,"43,938",43938,0
176,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Homeland Security And Prep Grant,,Homeland Security And Prep Grant,41-240,,,,0,0,0
177,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,UEZ – Rising Tide Capital,,UEZ – Rising Tide Capital,41-292,,25000,,"25,000",25000,0
178,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,JC Signalization Improvements,,JC Signalization Improvements,41-366,792000,,,0,,0
179,CY,2013,53,24A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Banfield Grant,,Banfield Grant,41-367,10000,,,0,0,0
180,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,NJCU Business Development Center,,NJCU Business Development Center,41-323,,150000,,"150,000",150000,0
181,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,EDC Administration,,EDC Administration,41-140,,,,"797,262",797262,0
182,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Westside Avenue Study,,Westside Avenue Study,41-324,,99505,,"99,505",99505,0
183,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Subregional Studies Program – Liberty St Park,,Subregional Studies Program – Liberty St Park,,,,,0,,0
